,Entry 1,Entry 2
0,0,1
1,0,2
2,0,3
3,0,1950
4,0,2504
5,0,2505
6,1,0
7,1,2
8,1,7
9,1,8
10,1,1950
11,2,0
12,2,1
13,2,3
14,2,4
15,2,7
16,3,0
17,3,2
18,3,4
19,3,2455
20,3,2504
21,3,2603
22,3,2604
23,4,2
24,4,3
25,4,5
26,4,6
27,4,7
28,4,2603
29,4,2607
30,5,4
31,5,6
32,5,13
33,5,2269
34,5,2270
35,5,2606
36,6,4
37,6,5
38,6,7
39,6,8
40,6,13
41,7,1
42,7,2
43,7,4
44,7,6
45,7,8
46,8,1
47,8,6
48,8,7
49,8,13
50,8,1950
51,8,1951
52,8,1952
53,9,10
54,9,11
55,9,12
56,9,472
57,9,476
58,9,634
59,9,1990
60,10,9
61,10,476
62,10,634
63,10,638
64,10,2588
65,10,2592
66,11,9
67,11,75
68,11,77
69,11,634
70,11,636
71,11,1990
72,12,9
73,13,5
74,13,6
75,13,8
76,13,638
77,13,639
78,13,1952
79,13,2270
80,13,2271
81,13,2272
82,13,2588
83,13,2589
84,14,15
85,14,16
86,14,17
87,14,1042
88,14,2112
89,15,14
90,15,16
91,15,17
92,15,18
93,15,165
94,16,14
95,16,15
96,16,18
97,16,764
98,16,769
99,16,2112
100,16,2115
101,16,2118
102,17,14
103,17,15
104,17,165
105,17,166
106,17,1042
107,18,15
108,18,16
109,18,997
110,18,1014
111,18,2113
112,18,2115
113,19,22
114,19,23
115,19,24
116,19,26
117,19,32
118,19,2665
119,20,25
120,20,27
121,20,29
122,20,30
123,20,31
124,20,32
125,20,1837
126,20,2293
127,21,23
128,21,24
129,21,25
130,21,31
131,21,1980
132,21,2293
133,22,19
134,22,23
135,22,26
136,22,28
137,22,32
138,23,19
139,23,21
140,23,22
141,23,24
142,23,25
143,23,28
144,24,19
145,24,21
146,24,23
147,24,1979
148,24,2669
149,24,2672
150,25,20
151,25,21
152,25,23
153,25,28
154,25,29
155,25,30
156,25,31
157,26,19
158,26,22
159,26,27
160,26,28
161,26,32
162,27,20
163,27,26
164,27,28
165,27,29
166,27,30
167,27,32
168,28,22
169,28,23
170,28,25
171,28,26
172,28,27
173,28,29
174,29,20
175,29,25
176,29,27
177,29,28
178,29,30
179,30,20
180,30,25
181,30,27
182,30,29
183,30,32
184,31,20
185,31,21
186,31,25
187,31,2293
188,32,19
189,32,20
190,32,22
191,32,26
192,32,27
193,32,30
194,32,1837
195,32,1840
196,32,1845
197,32,2598
198,32,2602
199,32,2665
200,33,36
201,33,40
202,33,42
203,33,43
204,33,1942
205,34,37
206,34,39
207,34,41
208,34,1800
209,34,1803
210,34,1804
211,35,41
212,35,42
213,35,44
214,35,45
215,36,33
216,36,38
217,36,42
218,36,45
219,36,1189
220,36,1194
221,36,1942
222,37,34
223,37,41
224,37,44
225,37,1189
226,37,1800
227,37,2423
228,38,36
229,38,1194
230,38,1942
231,38,2088
232,39,34
233,39,41
234,39,42
235,39,43
236,39,1804
237,39,1818
238,40,33
