District,Year,Name,Race,Party,Incumbent,Won
1,2020,Buddy Carter,White,Republican,Yes,Yes
1,2020,Joyce Griggs,Black,Democrat,No,No
2,2020,Don Cole,White,Republican,No,No
2,2020,Sanford Bishop,Black,Democrat,Yes,Yes
3,2020,Drew Ferguson,White,Republican,Yes,Yes
3,2020,Val Almonord,Black,Democrat,No,No
4,2020,Johsie Cruz,Hispanic,Republican,No,No
4,2020,Hank Johnson,Black,Democrat,Yes,Yes
5,2020,Angela Stanton-King,Black,Republican,No,No
5,2020,Nikema Williams,Black,Democrat,No,Yes
6,2020,Karen Handel,White,Republican,No,No
6,2020,Lucy McBath,Black,Democrat,Yes,Yes
7,2020,Rich McCormick,White,Republican,No,No
7,2020,Carolyn Bourdeaux,White,Democrat,No,Yes
8,2020,Austin Scott,White,Republican,Yes,Yes
8,2020,Lindsay Holliday,White,Democrat,No,No
9,2020,Andrew Clyde,White,Republican,No,Yes
9,2020,Devin Pandy,Hispanic,Democrat,No,No
10,2020,Jody Hice,White,Republican,Yes,Yes
10,2020,Tabitha Johnson-Green,Black,Democrat,No,No
11,2020,Barry Loudermilk,White,Republican,Yes,Yes
11,2020,Dana Barrett,White,Democrat,No,No
12,2020,Rick W. Allen,White,Republican,Yes,Yes
12,2020,Liz Johnson,Black,Democrat,No,No
13,2020,Becky Hites,White,Republican,No,No
13,2020,David Scott,Black,Democrat,Yes,Yes
14,2020,Marjorie Taylor Greene,White,Republican,No,Yes
14,2020,Kevin Van Ausdal,White,Democrat,No,No
1,2022,Buddy Carter,White,Republican,Yes,Yes
1,2022,Wade Herring,White,Democrat,No,No
2,2022,Chris West,White,Republican,No,No
2,2022,Sanford Bishop,Black,Democrat,Yes,Yes
3,2022,Drew Ferguson,White,Republican,Yes,Yes
3,2022,Val Almonord,Black,Democrat,No,No
4,2022,Jonathan Chavez,Hispanic,Republican,No,No
4,2022,Hank Johnson,Black,Democrat,Yes,Yes
5,2022,Christian Zimm,White,Republican,No,No
5,2022,Nikema Williams,Black,Democrat,Yes,Yes
6,2022,Rich McCormick,White,Republican,No,Yes
6,2022,Bob Christian,White,Democrat,No,No
7,2022,Mark Gonsalves,White,Republican,No,No
7,2022,Lucy McBath,Black,Democrat,Yes,Yes
8,2022,Austin Scott,White,Republican,Yes,Yes
8,2022,Darrius Butler,Black,Democrat,No,No
9,2022,Andrew Clyde,White,Republican,Yes,Yes
9,2022,Mike Ford,White,Democrat,No,No
10,2022,Mike Collins,White,Republican,No,No
10,2022,Tabitha Johnson-Green,Black,Democrat,No,No
11,2022,Barry Loudermilk,White,Republican,Yes,Yes
11,2022,Antonio Daza,Hispanic,Democrat,No,No
12,2022,Rick W. Allen,White,Republican,Yes,Yes
12,2022,Liz Johnson,Black,Democrat,No,No
13,2022,Caesar Gonzales,Hispanic,Republican,No,No
13,2022,David Scott,Black,Democrat,Yes,Yes
14,2022,Marjorie Taylor Greene,White,Republican,Yes,Yes
14,2022,Marcus Flowers,Black,Democrat,No,No
