,Entry 1,Entry 2
0,0,1
1,0,2
2,0,1921
3,1,0
4,1,2
5,1,24
6,2,0
7,2,1
8,2,24
9,2,27
10,3,4
11,3,5
12,3,6
13,3,11
14,3,23
15,3,28
16,4,3
17,4,5
18,4,6
19,4,7
20,5,3
21,5,4
22,5,7
23,5,24
24,5,28
25,6,3
26,6,4
27,6,7
28,6,24
29,7,4
30,7,5
31,7,6
32,7,24
33,8,9
34,8,23
35,8,30
36,8,33
37,9,8
38,9,26
39,9,30
40,9,33
41,9,37
42,10,11
43,10,12
44,10,23
45,10,33
46,11,3
47,11,10
48,11,12
49,12,10
50,12,11
51,12,13
52,12,33
53,12,35
54,13,12
55,13,15
56,13,35
57,14,13
58,14,15
59,14,16
60,14,35
61,15,16
62,15,31
63,15,35
64,15,36
65,16,17
66,16,18
67,16,36
68,16,1040
69,17,18
70,17,19
71,17,36
72,17,1040
73,17,1048
74,18,19
75,18,25
76,18,36
77,18,1048
78,19,20
79,19,21
80,19,22
81,19,32
82,19,1046
83,20,21
84,20,22
85,20,25
86,20,31
87,20,32
88,21,20
89,21,22
90,21,26
91,21,31
92,21,33
93,21,1046
94,22,3
95,22,8
96,22,10
97,22,23
98,22,28
99,22,30
100,23,1
101,23,2
102,23,5
103,23,6
104,23,7
105,23,24
106,23,27
107,23,28
108,24,19
109,24,21
110,24,25
111,24,31
112,24,32
113,24,36
114,24,1046
115,24,1048
116,25,9
117,25,22
118,25,26
119,25,33
120,26,2
121,26,24
122,26,27
123,26,28
124,26,29
125,26,37
126,27,3
127,27,5
128,27,23
129,27,24
130,27,28
131,27,29
132,27,30
133,27,37
134,28,27
135,28,29
136,28,30
137,28,37
138,29,8
139,29,9
140,29,23
141,29,28
142,29,30
143,29,37
144,30,16
145,30,21
146,30,22
147,30,25
148,30,31
149,30,33
150,30,34
151,30,35
152,31,20
153,31,21
154,31,25
155,31,32
156,31,1046
157,32,8
158,32,9
159,32,10
160,32,12
161,32,22
162,32,26
163,32,31
164,32,33
165,32,34
166,32,35
167,33,31
168,33,34
169,33,35
170,34,12
171,34,13
172,34,15
173,34,16
174,34,31
175,34,33
176,34,35
177,35,16
178,35,17
179,35,18
180,35,19
181,35,25
182,35,36
183,36,9
184,36,27
185,36,28
186,36,29
187,36,30
188,36,37
189,37,38
190,37,39
191,37,41
192,37,44
193,37,45
194,37,47
195,38,39
196,38,43
197,38,44
198,38,46
199,38,47
200,38,48
201,39,40
202,39,45
203,39,46
204,39,51
205,39,80
206,40,38
207,40,41
208,40,44
209,40,45
210,40,49
211,40,50
212,40,52
213,40,55
214,40,731
215,41,42
216,41,43
217,41,56
218,41,57
219,41,59
220,41,61
221,42,39
222,42,43
223,42,44
224,42,46
225,42,59
226,42,61
227,42,62
228,42,65
229,42,728
230,42,1144
231,42,1156
232,42,1164
233,43,38
234,43,39
235,43,41
236,43,44
237,43,47
238,43,48
239,43,728
240,43,732
241,44,38
242,44,40
243,44,41
244,44,45
245,44,46
246,44,49
247,44,51
