District,Year,Name,Race,Party,Incumbent,Won
1,2020,Andy Harris,White,Republican,Yes,Yes
1,2020,Mia Mason,White,Democrat,No,No
2,2020,Johnny Ray Salling,White,Republican,No,No
2,2020,Dutch Ruppersberger,White,Democrat,Yes,Yes
3,2020,Charles Anthony,White,Republican,No,No
3,2020,John Sarbanes,White,Democrat,Yes,Yes
4,2020,George McDermott,White,Republican,No,No
4,2020,Anthony Brown,Black,Democrat,Yes,Yes
5,2020,Chris Palombi,White,Republican,No,No
5,2020,Steny Hoyer ,White,Democrat,Yes,Yes
6,2020,Neil Parrott,White,Republican,No,No
6,2020,David Trone,White,Democrat,Yes,Yes
7,2020,Kimberly Klacik,Black,Republican,No,No
7,2020,Kweisi Mfume,Black,Democrat,Yes,Yes
8,2020,Gregory Coll,White,Republican,No,No
8,2020,Jamie Raskin,White,Democrat,Yes,Yes
1,2022,Andy Harris,White,Republican,Yes,Yes
1,2022,Heather Mizeur,White,Democrat,No,No
2,2022,Nicolee Ambrose,White,Republican,No,No
2,2022,Dutch Ruppersberger,White,Democrat,Yes,Yes
3,2022,Yuripzy Morgan,Hispanic,Republican,No,No
3,2022,John Sarbanes,White,Democrat,Yes,Yes
4,2022,Jeff Warner,White,Republican,No,No
4,2022,Glenn Ivey,Black,Democrat,No,Yes
5,2022,Chris Palombi,White,Republican,No,No
5,2022,Steny Hoyer ,White,Democrat,Yes,Yes
6,2022,Neil Parrott,White,Republican,No,No
6,2022,David Trone,White,Democrat,Yes,Yes
7,2022,Scott Collier,White,Republican,No,No
7,2022,Kweisi Mfume,Black,Democrat,Yes,Yes
8,2022,Gregory Coll,White,Republican,No,No
8,2022,Jamie Raskin,White,Democrat,Yes,Yes
