,Entry 1,Entry 2
0,0,1
1,0,2
2,0,4
3,0,11
4,0,13
5,1,0
6,1,2
7,1,5
8,1,11
9,1,1882
10,1,1885
11,2,0
12,2,1
13,2,3
14,2,4
15,2,5
16,3,2
17,3,4
18,3,5
19,3,8
20,3,10
21,4,0
22,4,2
23,4,3
24,4,7
25,4,8
26,4,13
27,5,1
28,5,2
29,5,3
30,5,6
31,5,10
32,5,1885
33,6,5
34,6,10
35,6,1885
36,7,4
37,7,8
38,7,9
39,7,11
40,7,13
41,8,3
42,8,4
43,8,7
44,8,9
45,8,10
46,8,17
47,9,7
48,9,8
49,9,11
50,9,17
51,10,3
52,10,5
53,10,6
54,10,8
55,10,17
56,10,18
57,10,337
58,10,338
59,10,339
60,10,1885
61,10,1887
62,11,0
63,11,1
64,11,7
65,11,9
66,11,12
67,11,13
68,11,14
69,11,15
70,11,17
71,12,11
72,12,15
73,12,16
74,12,812
75,13,0
76,13,4
77,13,7
78,13,11
79,14,11
80,14,15
81,14,17
82,15,11
83,15,12
84,15,14
85,15,16
86,15,17
87,16,12
88,16,15
89,16,18
90,16,811
91,16,812
92,17,8
93,17,9
94,17,10
95,17,11
96,17,14
97,17,15
98,17,18
99,18,10
100,18,16
101,18,17
102,18,339
103,18,811
104,18,813
105,19,27
106,19,28
107,19,30
108,19,31
109,19,32
110,20,21
111,20,23
112,20,26
113,20,1734
114,21,20
115,21,22
116,21,26
117,21,32
118,21,35
119,22,21
120,22,32
121,22,33
122,23,20
123,23,24
124,23,26
125,23,27
126,23,1734
127,23,1735
128,24,23
129,24,25
130,24,27
131,24,28
132,24,1735
133,24,1736
134,25,24
135,25,28
136,25,29
137,25,1488
138,25,1500
139,25,1736
140,26,20
141,26,21
142,26,23
143,26,27
144,26,35
145,27,19
146,27,23
147,27,24
148,27,26
149,27,28
150,27,30
151,27,32
152,27,35
153,28,19
154,28,24
155,28,25
156,28,27
157,28,29
158,28,31
159,28,34
160,29,25
161,29,28
162,29,34
163,29,1488
164,29,1489
165,29,1491
166,29,1493
167,30,19
168,30,27
169,30,32
170,31,19
171,31,28
172,31,33
173,31,34
174,32,19
175,32,21
176,32,22
177,32,27
178,32,30
179,32,33
180,32,35
181,33,22
182,33,31
183,33,32
184,33,34
185,33,1711
186,33,1728
187,33,1730
188,34,28
189,34,29
190,34,31
191,34,33
192,34,1491
193,34,1727
194,34,1728
195,35,21
196,35,26
197,35,27
198,35,32
199,36,38
200,36,42
201,36,44
202,36,50
203,36,54
204,37,38
205,37,41
206,37,42
207,37,46
208,37,48
209,38,36
210,38,37
211,38,39
212,38,40
213,38,42
214,38,48
215,38,50
216,38,54
217,39,38
218,39,40
219,39,49
220,39,51
221,39,348
222,39,349
223,39,350
224,40,38
225,40,39
226,40,48
227,40,349
228,41,37
229,41,42
230,41,43
231,41,46
232,42,36
233,42,37
234,42,38
235,42,41
236,42,43
237,42,44
238,43,41
239,43,42
240,43,46
241,43,1880
242,43,1883
243,44,36
244,44,42
