District,Year,Name,Race,Party,Incumbent,Won
1,2020,Trent Kelly,White,Republican,Yes,Yes
1,2020,Antonia Eliason,White,Democrat,No,No
2,2020,Brian Flowers,White,Republican,No,No
2,2020,Bennie Thompson,Black,Democrat,Yes,Yes
3,2020,Michael Guest,White,Republican,Yes,Yes
3,2020,Dot Benford,Black,Democrat,No,No
4,2020,Steven Palazzo,White,Republican,Yes,Yes
1,2022,Trent Kelly,White,Republican,Yes,Yes
1,2022,Dianne Black,Black,Democrat,No,No
2,2022,Brian Flowers,White,Republican,No,No
2,2022,Bennie Thompson,Black,Democrat,Yes,Yes
3,2022,Michael Guest,White,Republican,Yes,Yes
3,2022,Shuwaski Young,Black,Democrat,No,No
4,2022,Mike Ezell,White,Republican,No,Yes
4,2022,Johnny DuPree,Black,Democrat,No,No
